# time_ms,control,value
37973,rstick_x,16421
37973,rstick_y,-13666
37982,rstick_x,16530
37982,rstick_y,-13723
37989,rstick_x,16530
37989,rstick_y,-13723
37993,rstick_x,16541
37993,rstick_y,-13723
37997,rstick_x,16541
37997,rstick_y,-13723
38004,rstick_x,16325
38004,rstick_y,-13522
38013,rstick_x,16325
38013,rstick_y,-13522
38020,rstick_x,15945
38020,rstick_y,-13189
38034,rstick_x,15945
38034,rstick_y,-13189
38037,rstick_x,15316
38037,rstick_y,-12787
38041,rstick_x,15316
38041,rstick_y,-12787
38045,rstick_x,15316
38045,rstick_y,-12787
38056,rstick_x,15316
38056,rstick_y,-12787
38062,rstick_x,14438
38062,rstick_y,-12178
38069,rstick_x,13631
38069,rstick_y,-11292
38081,rstick_x,13631
38081,rstick_y,-11292
38094,rstick_x,13631
38094,rstick_y,-11292
38101,rstick_x,13631
38101,rstick_y,-11292
38109,rstick_x,12000
38109,rstick_y,-8292
38117,rstick_x,12000
38117,rstick_y,-8292
38125,rstick_x,12000
38125,rstick_y,-8292
38127,rstick_x,11672
38127,rstick_y,-7486
38130,rstick_x,11672
38130,rstick_y,-7486
38137,rstick_x,11421
38137,rstick_y,-6802
38143,rstick_x,11421
38143,rstick_y,-6802
38149,rstick_x,11421
38149,rstick_y,-6802
38157,rstick_x,11421
38157,rstick_y,-6802
38165,rstick_x,11421
38165,rstick_y,-6802
38172,rstick_x,11226
38172,rstick_y,-6210
38181,rstick_x,11226
38181,rstick_y,-6210
38191,rstick_x,11226
38191,rstick_y,-6210
38195,rstick_x,11076
38195,rstick_y,-5736
38198,rstick_x,10956
38198,rstick_y,-5346
38203,rstick_x,10956
38203,rstick_y,-5346
38207,rstick_x,10956
38207,rstick_y,-5346
38213,rstick_x,10956
38213,rstick_y,-5346
38221,rstick_x,10956
38221,rstick_y,-5346
38229,rstick_x,10956
38229,rstick_y,-5346
38237,rstick_x,9720
38237,rstick_y,-4542
38241,rstick_x,8723
38241,rstick_y,-4372
38245,rstick_x,8723
38245,rstick_y,-4372
38258,rstick_x,8723
38258,rstick_y,-4372
38261,rstick_x,7632
38261,rstick_y,-4187
38269,rstick_x,7632
38269,rstick_y,-4187
38284,rstick_x,7632
38284,rstick_y,-4187
38287,rstick_x,7632
38287,rstick_y,-4187
38292,rstick_x,5414
38292,rstick_y,-3710
38295,rstick_x,5414
38295,rstick_y,-3710
38301,rstick_x,5414
