# time_ms,control,value
73299,lstick_y,-1311
73307,lstick_y,-1311
73315,lstick_y,-1311
73322,lstick_y,-1311
73332,lstick_y,-1311
73339,lstick_y,-1311
73347,lstick_y,-1311
73356,lstick_y,-1311
73363,lstick_y,-1311
73371,lstick_y,-1311
73374,lstick_y,-1311
73378,lstick_y,-1311
73387,lstick_y,-1311
73395,lstick_y,-1311
73403,lstick_y,-1311
73411,lstick_y,-1311
73419,lstick_y,-1311
73427,lstick_y,-1311
73435,lstick_y,-1311
73443,lstick_y,-1311
73453,lstick_y,-1311
73459,lstick_y,-1311
73463,lstick_y,-1311
73467,lstick_y,-1311
73475,lstick_y,-1311
73483,lstick_y,-1311
73488,lstick_y,-1311
73491,lstick_y,-1311
73500,lstick_y,-1311
73507,lstick_y,-1311
73515,lstick_y,-1311
73523,lstick_y,-1311
73531,lstick_y,-1311
73539,lstick_y,-1311
73543,lstick_y,-1311
73547,lstick_y,-1311
73555,lstick_y,-1311
73563,lstick_y,-1311
73572,lstick_y,-1311
73579,lstick_y,-1311
73587,lstick_y,-1311
73595,lstick_y,-1311
73603,lstick_y,-1311
73612,lstick_y,-1311
73619,lstick_y,-1311
73624,lstick_y,-1311
73627,lstick_y,-1311
73633,lstick_y,-1311
73643,lstick_y,-1311
73651,lstick_y,-1311
73654,lstick_y,-1311
73659,lstick_y,-1311
73667,lstick_y,-1311
73675,lstick_y,-1311
73683,lstick_y,-1311
73691,lstick_y,-1311
73699,lstick_y,-1311
73705,lstick_y,-1311
73708,lstick_y,-1311
73715,lstick_y,-1311
73723,lstick_y,-1311
73731,lstick_y,-1311
73736,lstick_y,-1311
73739,lstick_y,-1311
73747,lstick_y,-1311
73755,lstick_y,-1311
73763,lstick_y,-1311
73771,lstick_y,-1311
73779,lstick_y,-1311
73787,lstick_y,-1311
73790,lstick_y,-1311
73794,lstick_y,-1311
73800,lstick_y,-1311
73803,lstick_y,-1311
73811,lstick_y,-1311
73819,lstick_y,-1311
73823,lstick_y,-1311
